Category,Service,Platform,Solution,Description
Compute,Shared Web hosting,AWS,AWS Amplify,https://aws.amazon.com/amplify/hosting/
Compute,Shared Web hosting,Microsoft Azure,Web Apps,https://azure.microsoft.com/en-us/services/app-service/web/
Compute,Shared Web hosting,Google Cloud Platform,Firebase,https://firebase.google.com/docs/hosting
Compute,Shared Web hosting,IBM Cloud,Web hosting services,https://www.ibm.com/cloud/websites
Compute,Shared Web hosting,Alibaba Cloud,Web Hosting,https://www.alibabacloud.com/product/hosting
Compute,Shared Web hosting,Alibaba Cloud,Simple Application Server,https://www.alibabacloud.com/product/swas
Compute,Virtual Server,AWS,Amazon EC2,https://aws.amazon.com/ec2/
Compute,Virtual Server,Microsoft Azure,Azure Virtual Machine,https://docs.microsoft.com/azure/virtual-machines/
Compute,Virtual Server,Google Cloud Platform,Compute Engine,https://cloud.google.com/compute/
Compute,Virtual Server,IBM Cloud,Classic Virtual Server,https://cloud.ibm.com/docs/vsi?topic=virtual-servers-about-public-virtual-servers
Compute,Virtual Server,IBM Cloud,Virtual Server for VPC (x86 & s390x),https://cloud.ibm.com/docs/vpc?topic=vpc-getting-started
Compute,Virtual Server,IBM Cloud,Power Systems Virtual Servers,https://cloud.ibm.com/docs/infrastructure/power-iaas?topic=power-iaas-about-power-virtual-server
Compute,Virtual Server,IBM Cloud,Hyper Protect Virtual Server (LinuxONE),https://cloud.ibm.com/catalog/services/hyper-protect-virtual-server
Compute,Virtual Server,IBM Cloud,Quantum Services,https://cloud.ibm.com/quantum
Compute,Virtual Server,Oracle Cloud,Oracle Cloud Infrastructure Compute,,https://www.oracle.com/cloud/compute/
Compute,Virtual Server,Alibaba Cloud,Alibaba ECS,https://www.alibabacloud.com/product/ecs
Compute,Virtual Server,Huawei Cloud,Huawei Cloud Elastic Cloud Server,https://www.huaweicloud.com/intl/en-us/product/ecs.html
Compute,Bare Metal Server,AWS,Amazon EC2 Bare Metal Instance,https://aws.amazon.com/blogs/aws/category/compute/amazon-ec2-bare-metal/
Compute,Bare Metal Server,Microsoft Azure,Azure Bare Metal Servers (Large   Instance Only for SAP Hana),https://docs.microsoft.com/azure/virtual-machines/workloads/sap/hana-overview-architecture
Compute,Bare Metal Server,Google Cloud Platform,Bare Metal Solution,https://cloud.google.com/bare-metal
Compute,Bare Metal Server,IBM Cloud,Bare Metal Servers,https://www.ibm.com/cloud/bare-metal-servers
Compute,Bare Metal Server,Oracle Cloud,Oracle Bare Metal Servers,https://www.oracle.com/cloud/compute/bare-metal.html
Compute,Bare Metal Server,Alibaba Cloud,ECS Bare Metal Instance,https://www.alibabacloud.com/product/ebm
Compute,Bare Metal Server,Huawei Cloud,Huawei Cloud Bare Metal Server,https://www.huaweicloud.com/intl/en-us/product/bms.html
Compute,VMware,AWS,VMC on AWS,https://aws.amazon.com/vmware/
Compute,VMware,Microsoft Azure,Azure VMware Solution,https://azure.microsoft.com/services/azure-vmware/
Compute,VMware,Google Cloud Platform,Google Cloud VMware Engine,https://cloud.google.com/vmware-engine
Compute,VMware,IBM Cloud,VMware Solutions Shared,https://cloud.ibm.com/infrastructure/vmware-solutions/console
Compute,VMware,IBM Cloud,VMware Solutions Dedicated,https://cloud.ibm.com/infrastructure/vmware-solutions/console
Compute,VMware,IBM Cloud,VMware Regulated Workloads,https://cloud.ibm.com/infrastructure/vmware-solutions/console
Compute,VMware,IBM Cloud,VMware Solutions Dedicated - Security & Compliance Readiness Bundle,https://cloud.ibm.com/infrastructure/vmware-solutions/console
Compute,VMware,Oracle Cloud,Oracle Cloud VMWare Solution,https://docs.oracle.com/en-us/iaas/Content/VMware/Concepts/ocvsoverview.htm
Compute,Virtual Dedicated Host,AWS,Amazon EC2 Dedicated Hosts,https://aws.amazon.com/ec2/dedicated-hosts/
Compute,Virtual Dedicated Host,AWS,AWS Nitro Enclaves,https://aws.amazon.com/ec2/nitro/nitro-enclaves/
Compute,Virtual Dedicated Host,Microsoft Azure,Azure Dedicated Host,https://azure.microsoft.com/services/virtual-machines/dedicated-host/
Compute,Virtual Dedicated Host,Google Cloud Platform,Sole Tenant Node (Beta),https://cloud.google.com/compute/docs/nodes/
Compute,Virtual Dedicated Host,IBM Cloud,Dedicated Virtual Servers Infrastructure (VSi),https://cloud.ibm.com/docs/vsi?topic=virtual-servers-dedicated-virtual-servers
Compute,Virtual Dedicated Host,IBM Cloud,Dedicated host for VPC,https://cloud.ibm.com/vpc-ext/provision/dedicatedHost
Compute,Virtual Dedicated Host,Oracle Cloud,Dedicated Virtual Machine Hosts,https://docs.oracle.com/en-us/iaas/Content/Compute/Concepts/dedicatedvmhosts.htm
Compute,Virtual Dedicated Host,Alibaba Cloud,Dedicated Host,https://www.alibabacloud.com/product/ddh
Compute,Virtual Dedicated Host,Huawei Cloud,Huawei Cloud Dedicate Host,https://www.huaweicloud.com/intl/en-us/product/deh.html
